"filename", "language", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\RoomListPage.tsx", "TypeScript JSX", 153, 0, 0, 0, 1, 11, 165
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\RoomRegisterPage.tsx", "TypeScript JSX", 76, 0, 0, 0, 0, 11, 87
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\RoomReservePage.tsx", "TypeScript JSX", 527, 0, 0, 0, 3, 53, 583
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\UserListPage.tsx", "TypeScript JSX", 129, 0, 0, 0, 1, 9, 139
"c:\Users\r00528311\source\exercise\sample\frontend\src\pages\UserRegisterPage.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 11, 93
"c:\Users\r00528311\source\exercise\sample\frontend\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\r00528311\source\exercise\sample\frontend\src\setupTests.ts", "TypeScript", 0, 1, 0, 0, 4, 1, 6
"c:\Users\r00528311\source\exercise\sample\frontend\src\types.ts", "TypeScript", 0, 92, 0, 0, 0, 13, 105
"c:\Users\r00528311\source\exercise\sample\frontend\src\utils\loanAlerts.ts", "TypeScript", 0, 43, 0, 0, 0, 8, 51
"Total", "-", 6055, -1597, 1, 128, 29, 301, 4917
